Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,146.529999,146.990005,143.880005,144.929993,110.811035,204935600
2008-01-03,144.910004,145.490005,144.070007,144.860001,110.757507,125133300
2008-01-04,143.339996,143.440002,140.910004,141.309998,108.043213,232330900
2008-01-07,141.809998,142.229996,140.100006,141.190002,107.951515,234991000
2008-01-08,142.080002,142.899994,138.440002,138.910004,106.208267,326365700
2008-01-09,139.089996,140.789993,137.699997,140.369995,107.324532,301824900
2008-01-10,139.679993,142.800003,139.369995,141.289993,108.027931,335701200
2008-01-11,140.779999,141.899994,139.000000,140.149994,107.156311,267076600
2008-01-14,141.160004,141.860001,140.399994,141.279999,108.020279,170365500
2008-01-15,139.789993,141.490005,137.899994,138.169998,105.642448,239940100
2008-01-16,137.360001,139.119995,136.279999,136.979996,104.732613,378802600
2008-01-17,137.809998,137.880005,132.929993,133.429993,102.018288,397892600
2008-01-18,134.740005,135.020004,131.100006,132.059998,100.970840,348561500
2008-01-22,127.209999,132.429993,126.000000,130.720001,99.946327,435923700
2008-01-23,127.089996,134.190002,126.839996,133.860001,102.347092,511913000
2008-01-24,134.479996,135.460007,133.309998,134.990005,103.211090,259949300
2008-01-25,136.509995,136.759995,132.600006,133.039993,101.720131,269603900
2008-01-28,133.259995,135.520004,132.059998,135.240005,103.402260,217934600
2008-01-29,136.100006,136.449997,134.880005,135.910004,103.914467,168968300
2008-01-30,135.580002,138.539993,134.600006,134.910004,103.149925,334939200
2008-01-31,133.399994,138.539993,133.199997,137.369995,105.030777,343680800
2008-02-01,137.940002,139.610001,137.520004,139.580002,106.720512,206843600
2008-02-04,139.210007,139.300003,137.639999,137.820007,105.374855,124694300
2008-02-05,135.940002,136.250000,133.669998,134.130005,102.553551,286882500
2008-02-06,134.580002,135.250000,132.410004,133.050003,101.727776,250792900
2008-02-07,131.800003,134.789993,131.729996,133.929993,102.400597,297368100
2008-02-08,133.089996,134.220001,132.100006,133.070007,101.743088,221643500
2008-02-11,133.100006,134.229996,132.039993,133.750000,102.262985,188576300
2008-02-12,134.910004,136.309998,133.979996,134.990005,103.211090,256654400
2008-02-13,136.009995,137.059998,135.139999,136.369995,104.266205,181967800
